Class,Champion,Tips against this defender 💡,Counters
Cosmic,Adam Warlock,"Adam Warlock ignores the abilities of many mystics, and is immune to ability nullification and reduction.
Additionally, Adam's special attacks and blows become unblockable. Against Adam, you should use champions with power steal. You shouldn't hit the stasis chamber, otherwise the attacker will be stunned.","White Tiger, Symbiote Supreme, Spiral, Doctor Doom, The Hood, America Chavez"
Cosmic,Air-Walker,"Air Walker presents 2 dangers. Dark Tide damage and intense power gain.
To avoid this damage, you should use nullifiers and remove the Power Cosmic or use power controllers.
Champions that are immune to armor break or that purify are also a good answer against Air Walker.","The Destroyer, Doctor Doom, America Chavez, The Hood, Absorbing Man, Wiccan"
Cosmic,Annihilus,"Against Annihilus, it's not a good idea to use champions that don't eliminate the cosmic staff. ❌
By nullifying the Cosmic Staff, Annihilus loses the ability to become unstoppable and loses immunity to power drain.
In addition to nullifiers against Annihilus, you can use champions that reduce the duration of the unstoppable.","Absorbing Man, Shathra, Longshot, The Hood, Symbiote Supreme, Nico Minoru"
Tech,Ant-Man (Future),"The most effective way to defeat Future Ant-Man is to use champions with piercing effects.
This defender's biggest threat is evasion/glancing, piercing effects prevent this ability.
Champions with armor break are also good options. It's advisable to keep him on SP1.","Hulkling, Magneto, Thanos (Deathless), The Hood, Nico Minoru, Beta Ray Bill"
Mutant,Apocalypse,"The best options are the feat removers.
To avoid feeding the genetic code, you should use Robots. As a rule, it's preferable to keep it in SP1.
You should never use any mutant ❌","Nimrod, Bastion, Ant-Man (Future), Warlock, Iron Man, Jack O'Lantern"
Tech,Arcade,"Arcade is a major defensive threat in the game. The biggest problems he can pose are:
➔ Auto-Block
➔ Poison Debuffs

How does the Auto-Block mechanic work?
Arcade has 100% Auto-Block. If he has 3 Tokens accumulated, this Auto-Block stuns the opponent and applies shock.
It's impossible to avoid Arcade's Auto-Block with True Strike, True Precision or True Sense effects, as it reduces the accuracy of these abilities by 100%.
However, champions with access to the Shake Bonus can ignore the Auto-Block. One of the best champions with this effect is Gorr.

How to defeat Arcade?
Whenever he's knocked down, Arcade loses 2 Tokens. This is the secret to avoiding Arcade's biggest dangers.
In addition, SP1 applies a Venomous Cloud, which applies Poisons to the opponent.
With Poison Arcade gains Tokens, so against Arcade you should ALWAYS force SP2.
Therefore, as soon as the fight starts, you should use Heavies to remove Arcade's Tokens and you should avoid SP1.
An important detail is that Arcade cannot auto-block the Opponent's Heavies.","Scream, Gorr, Hulkling, Vox, Mole Man, Chee'ilth, The Serpent, The Hood, Thanos (Deathless)"
Tech,Arnim Zola,"Armin Zola's main defensive mechanic is Passive Sleep.
In addition, he passively reduces the damage of the Attacker's Special Attacks by 90%.
Zola's SP2 also applies a Passive Disintegration that cannot be avoided.

How does the Passive Sleep mechanic work?
Arnim Zola gains ESP Charges whenever he Blocks a Blow (3 Charges) or is Hit by an attack that is not a Heavy (1 Charge).
After 20 Charges, Zola has a 10% Chance to apply a Passive Sleep for 3 Seconds to the Attacker.
Passive Sleep puts the Attacker to Sleep, which makes them unable to Attack, Block or Move.
Furthermore, when Sleeping, the Attacker is completely Vulnerable to the Defender's attacks.

How to AVOID the Passive Sleep mechanic?
Whenever Arnim Zola is knocked down by a Heavy Attack, he loses 10 ESP Charges.
Therefore, during the fight, as long as the Attacker uses Heavy Attack frequently, Zola will not be able to put the Attacker to Sleep.
The best Champions against Zola are those who have an easy time using Heavy Attack.
Champions that apply Passive Stun when charging Heavy Attack are direct counters to Zola.
Another solution is to use Champions with Invisibility or Unstoppable Mechanics, since it's easy to use Heavy without having to Stun Arnim Zola.","Thanos (Deathless), Beta Ray Bill, Void, Jack O'Lantern, The Hood, Prowler, Spider-Woman (Jessica Drew), Phoenix, Karolina Dean"
Mutant,Bishop,"You should never use any champion with bleed, shock or incinerate damage against Bishop. ❌
The ideal is to use champions immune to incinerate who are of the tech class.
Both SP1 and SP2 are specials that are difficult to dodge, so it's advisable to block.","Iron Man (Infamous), Ironheart, Ultron, Iron Man, Ant-Man (Future), Prowler"
Tech,Captain America (Sam Wilson),"You shouldn't use special attacks against this champion, as he auto-blocks and retaliates immediately.
Champions with armor break have an advantage against Capt. Wilson. You should also not use champions who rely on activating multiple abilities because he retaliates with burst damage.","Galan, Hulkling, Hercules, Medusa, Thanos (Deathless), Vox"
Mutant,Captain Britain,"Captain Britain has been updated to be a good Defender.

She has Safeguard Mechanics, preventing her from losing more than 3% health in a single hit.

The biggest threat she poses is Neuroshock, which is applied to enemies quite frequently.

Hitting Captain Britain with Critical Hits or applying Bleed and Shock to her is essentially a death sentence.
How to avoid Neuroshock?

To avoid Neuroshock, you cannot:
▶ Hit Captain Britain with Critical Hits, so champions who don't Critically Hit have an advantage.
▶ Apply Bleed and Shock to Captain Britain.
▶ Purify any debuffs against Captain Britain.
▶ Hitting Captain Britain while the attacker is suffering from Exhaustion, Captain Britain applies exhaustion on SP1, so it's best not to hit her while this Exhaustion is active.","The Maker, Shocker, Jack O'Lantern, Bastion, Prowler, Guillotine 2099"
